Order_Id,Name,Month,Category,Quantity,Platform,State,District,MRP,Discount_percent,Discount ,Amount,Profit,,
ORD000017,Water Bottle,September,Electronics,4,Flipkart,Karnataka,Madurai,"? 15,384.00",8.95,9%,"? 56,028.53","? 25,260.53",,
ORD000018,T-shirt,November,Computer,2,Meesho,Kerala,Kochi,"? 11,507.00",8.79,9%,"? 20,991.07","? 9,484.07",,
ORD000019,Gaming Keyboard,January,Computer,2,Flipkart,Kerala,Pune,? 376.00,27.71,28%,? 543.62,? 167.62,,
ORD000020,Wireless Mouse,December,Home,2,Flipkart,Maharashtra,Chennai,"? 18,544.00",13.03,13%,"? 32,255.43","? 13,711.43",,
ORD000021,Desk Lamp,December,Computer,5,Flipkart,Karnataka,Hyderabad,"? 3,119.00",23.68,24%,"? 11,902.10","? 4,104.60",,
ORD000022,Tablet Stand,October,Computer,1,Flipkart,Maharashtra,Salem,"? 1,464.00",15.46,15%,"? 1,237.67",? 505.67,,
ORD000023,Desk Lamp,August,Home,2,Amazon,Maharashtra,Bangalore,"? 16,831.00",19.98,20%,"? 26,936.33","? 10,105.33",,
ORD000024,Smart Watch,January,Home,3,Amazon,Tamil Nadu,Pune,"? 4,823.00",12.25,12%,"? 12,696.55","? 5,462.05",,
ORD000025,Headphones,May,Computer,3,Amazon,Karnataka,Chennai,"? 18,650.00",29.93,30%,"? 39,204.17","? 11,229.17",,
ORD000026,Power Bank,July,Computer,3,Meesho,Karnataka,Kochi,"? 18,394.00",12.42,12%,"? 48,328.40","? 20,737.40",,
ORD000027,Office Chair,February,Computer,5,Meesho,Maharashtra,Hyderabad,"? 18,185.00",7.1,7%,"? 84,469.33","? 39,006.83",,
ORD000028,Tablet Stand,December,Home,4,Flipkart,Karnataka,Kochi,"? 10,439.00",16.36,16%,"? 34,924.72","? 14,046.72",,
ORD000029,Sofa Cover,January,Computer,3,Amazon,Karnataka,Salem,"? 5,752.00",22.37,22%,"? 13,395.83","? 4,767.83",,
ORD000030,Bluetooth Speaker,October,Home,1,Amazon,Kerala,Chennai,"? 13,041.00",28.39,28%,"? 9,338.66","? 2,818.16",,
ORD000031,Mobile Charger,April,Computer,3,Flipkart,Tamil Nadu,Kochi,"? 13,658.00",23.17,23%,"? 31,480.32","? 10,993.32",,
ORD000032,Smart Watch,March,Home,1,Meesho,Telangana,Warangal,"? 17,330.00",24.05,24%,"? 13,162.14","? 4,497.14",,
ORD000033,Power Bank,April,Fashion,1,Flipkart,Tamil Nadu,Salem,"? 11,083.00",12.16,12%,"? 9,735.31","? 4,193.81",,
ORD000034,LED Bulb,February,Computer,5,Amazon,Kerala,Salem,"? 4,202.00",25.1,25%,"? 15,736.49","? 5,231.49",,
ORD000035,T-shirt,August,Fashion,1,Amazon,Tamil Nadu,Bangalore,"? 14,064.00",13.83,14%,"? 12,118.95","? 5,086.95",,
ORD000036,Water Bottle,August,Fashion,5,Meesho,Karnataka,Hyderabad,"? 8,526.00",23.29,23%,"? 32,701.47","? 11,386.47",,
ORD000037,T-shirt,March,Fashion,1,Flipkart,Maharashtra,Hyderabad,"? 5,063.00",21.27,21%,"? 3,986.10","? 1,454.60",,
ORD000038,Jeans,November,Home,2,Flipkart,Maharashtra,Bangalore,"? 3,273.00",21.16,21%,"? 5,160.87","? 1,887.87",,
ORD000039,Sofa Cover,August,Home,4,Flipkart,Kerala,Pune,"? 16,719.00",26.66,27%,"? 49,046.86","? 15,608.86",,
ORD000040,Running Shoes,March,Home,3,Flipkart,Tamil Nadu,Salem,"? 3,610.00",14.03,14%,"? 9,310.55","? 3,895.55",,
ORD000041,Headphones,May,Home,3,Amazon,Maharashtra,Warangal,"? 5,593.00",28.37,28%,"? 12,018.80","? 3,629.30",,
ORD000042,T-shirt,December,Home,2,Amazon,Maharashtra,Kochi,"? 4,149.00",23.67,24%,"? 6,333.86","? 2,184.86",,
ORD000043,Power Bank,February,Electronics,1,Amazon,Karnataka,Warangal,"? 4,155.00",25.79,26%,"? 3,083.43","? 1,005.93",,
ORD000044,Sofa Cover,November,Fashion,2,Meesho,Kerala,Warangal,"? 8,460.00",17.37,17%,"? 13,981.00","? 5,521.00",,
ORD000045,Jeans,May,Home,3,Amazon,Kerala,Chennai,"? 1,990.00",27.19,27%,"? 4,346.76","? 1,361.76",,
ORD000046,Sofa Cover,August,Fashion,2,Flipkart,Maharashtra,Hyderabad,"? 18,258.00",11.76,12%,"? 32,221.72","? 13,963.72",,
ORD000047,Headphones,September,Electronics,2,Meesho,Kerala,Bangalore,"? 18,045.00",7.11,7%,"? 33,524.00","? 15,479.00",,
ORD000048,Laptop Bag,March,Electronics,3,Amazon,Tamil Nadu,Salem,"? 3,819.00",21.41,21%,"? 9,004.06","? 3,275.56",,
ORD000049,Wireless Mouse,May,Electronics,5,Meesho,Tamil Nadu,Madurai,"? 13,338.00",12.37,12%,"? 58,440.45","? 25,095.45",,
ORD000050,Smart Watch,October,Electronics,3,Amazon,Karnataka,Warangal,"? 11,900.00",17.02,17%,"? 29,623.86","? 11,773.86",,
ORD000051,Mixer Grinder,February,Fashion,4,Flipkart,Telangana,Chennai,"? 16,850.00",18.29,18%,"? 55,072.54","? 21,372.54",,
ORD000052,Tablet Stand,October,Computer,4,Meesho,Maharashtra,Chennai,"? 4,403.00",6.01,6%,"? 16,553.52","? 7,747.52",,
ORD000053,Jeans,April,Fashion,1,Amazon,Maharashtra,Chennai,"? 6,198.00",20.98,21%,"? 4,897.66","? 1,798.66",,
ORD000054,Water Bottle,March,Home,4,Flipkart,Telangana,Madurai,? 696.00,20.29,20%,"? 2,219.13",? 827.13,,
ORD000055,Running Shoes,December,Home,1,Meesho,Kerala,Chennai,"? 13,791.00",29.13,29%,"? 9,773.68","? 2,878.18",,
ORD000056,Bluetooth Speaker,May,Computer,5,Amazon,Karnataka,Bangalore,"? 1,049.00",15.5,16%,"? 4,432.03","? 1,809.53",,
ORD000057,Gaming Keyboard,May,Electronics,2,Meesho,Karnataka,Chennai,"? 7,675.00",23.98,24%,"? 11,669.07","? 3,994.07",,
ORD000058,Jeans,July,Electronics,3,Flipkart,Telangana,Madurai,"? 16,982.00",23,23%,"? 39,228.42","? 13,755.42",,
ORD000059,Office Chair,April,Fashion,3,Amazon,Maharashtra,Chennai,"? 2,508.00",20.8,21%,"? 5,959.01","? 2,197.01",,
ORD000060,T-shirt,December,Fashion,5,Flipkart,Karnataka,Salem,"? 13,230.00",27.88,28%,"? 47,707.38","? 14,632.38",,
ORD000061,LED Bulb,August,Home,1,Meesho,Kerala,Salem,"? 2,667.00",23.62,24%,"? 2,037.05",? 703.55,,
ORD000062,Jeans,November,Electronics,4,Amazon,Tamil Nadu,Pune,"? 8,539.00",10.17,10%,"? 30,682.33","? 13,604.33",,
ORD000063,Water Bottle,October,Fashion,5,Meesho,Kerala,Pune,"? 16,980.00",26.16,26%,"? 62,690.16","? 20,240.16",,
ORD000064,Desk Lamp,July,Electronics,4,Meesho,Maharashtra,Madurai,"? 11,756.00",23.33,23%,"? 36,053.30","? 12,541.30",,
ORD000065,Power Bank,April,Home,4,Flipkart,Kerala,Pune,"? 18,154.00",26.52,27%,"? 53,358.24","? 17,050.24",,
ORD000066,T-shirt,December,Fashion,3,Amazon,Karnataka,Kochi,"? 15,106.00",5.6,6%,"? 42,780.19","? 20,121.19",,
ORD000067,Laptop Bag,June,Home,3,Flipkart,Telangana,Pune,"? 15,270.00",5.24,5%,"? 43,409.56","? 20,504.56",,
ORD000068,Mobile Charger,July,Computer,4,Meesho,Telangana,Kochi,"? 19,901.00",14.02,14%,"? 68,443.52","? 28,641.52",,
ORD000069,Headphones,January,Fashion,3,Meesho,Karnataka,Madurai,"? 7,732.00",12.39,12%,"? 20,322.02","? 8,724.02",,
ORD000070,Headphones,April,Home,1,Meesho,Maharashtra,Bangalore,"? 5,576.00",27.14,27%,"? 4,062.67","? 1,274.67",,
ORD000071,Office Chair,September,Fashion,1,Meesho,Telangana,Kochi,"? 10,440.00",10.74,11%,"? 9,318.74","? 4,098.74",,
ORD000072,Backpack,July,Electronics,5,Amazon,Tamil Nadu,Pune,"? 9,984.00",28.19,28%,"? 35,847.55","? 10,887.55",,
ORD000073,Power Bank,October,Home,1,Flipkart,Maharashtra,Hyderabad,"? 9,771.00",5.94,6%,"? 9,190.60","? 4,305.10",,
ORD000074,Jeans,June,Home,3,Amazon,Kerala,Salem,"? 7,883.00",6.17,6%,"? 22,189.86","? 10,365.36",,
ORD000075,Sofa Cover,April,Fashion,3,Amazon,Kerala,Chennai,"? 9,899.00",5.18,5%,"? 28,158.70","? 13,310.20",,
ORD000076,Mixer Grinder,May,Electronics,2,Amazon,Tamil Nadu,Kochi,"? 8,447.00",12.67,13%,"? 14,753.53","? 6,306.53",,
ORD000077,Desk Lamp,April,Fashion,1,Flipkart,Telangana,Hyderabad,"? 15,565.00",26.47,26%,"? 11,444.94","? 3,662.44",,
ORD000078,Bluetooth Speaker,July,Computer,2,Amazon,Maharashtra,Warangal,"? 17,363.00",9.29,9%,"? 31,499.95","? 14,136.95",,
ORD000079,Gaming Keyboard,May,Fashion,4,Meesho,Kerala,Pune,"? 2,686.00",8.19,8%,"? 9,864.07","? 4,492.07",,
ORD000080,LED Bulb,December,Electronics,1,Flipkart,Tamil Nadu,Bangalore,? 809.00,20.08,20%,? 646.55,? 242.05,,
ORD000081,Smart Watch,January,Fashion,1,Meesho,Tamil Nadu,Chennai,"? 6,423.00",23.19,23%,"? 4,933.51","? 1,722.01",,
ORD000082,Sofa Cover,April,Electronics,1,Flipkart,Karnataka,Kochi,"? 11,172.00",16.19,16%,"? 9,363.25","? 3,777.25",,
ORD000083,Office Chair,March,Home,5,Amazon,Kerala,Pune,"? 9,929.00",8.19,8%,"? 45,579.07","? 20,756.57",,
ORD000084,Tablet Stand,September,Fashion,3,Flipkart,Tamil Nadu,Chennai,"? 14,331.00",12.03,12%,"? 37,820.94","? 16,324.44",,
ORD000085,Backpack,February,Home,1,Amazon,Karnataka,Pune,"? 10,322.00",7.08,7%,"? 9,591.20","? 4,430.20",,
ORD000086,LED Bulb,February,Electronics,5,Amazon,Tamil Nadu,Madurai,"? 15,528.00",27.25,27%,"? 56,483.10","? 17,663.10",,
ORD000087,Desk Lamp,August,Fashion,3,Amazon,Maharashtra,Bangalore,"? 10,212.00",5.87,6%,"? 28,837.67","? 13,519.67",,
ORD000088,Running Shoes,August,Fashion,4,Amazon,Karnataka,Madurai,"? 18,191.00",18.05,18%,"? 59,630.10","? 23,248.10",,
ORD000089,Sofa Cover,January,Computer,2,Flipkart,Telangana,Warangal,"? 8,649.00",24.58,25%,"? 13,046.15","? 4,397.15",,
ORD000090,Smart Watch,April,Fashion,1,Flipkart,Kerala,Kochi,"? 1,162.00",9.85,10%,"? 1,047.54",? 466.54,,
ORD000091,Headphones,February,Home,5,Flipkart,Karnataka,Bangalore,"? 3,371.00",8.77,9%,"? 15,376.82","? 6,949.32",,
ORD000092,Sofa Cover,December,Fashion,5,Meesho,Kerala,Chennai,"? 17,583.00",9.94,10%,"? 79,176.25","? 35,218.75",,
ORD000093,T-shirt,November,Fashion,3,Amazon,Tamil Nadu,Hyderabad,"? 14,185.00",5.14,5%,"? 40,367.67","? 19,090.17",,
ORD000094,Sofa Cover,June,Home,2,Meesho,Telangana,Warangal,"? 15,548.00",25.13,25%,"? 23,281.58","? 7,733.58",,
ORD000095,USB Cable,August,Fashion,1,Meesho,Telangana,Madurai,"? 2,843.00",23.85,24%,"? 2,164.94",? 743.44,,
ORD000096,Power Bank,September,Computer,2,Flipkart,Maharashtra,Kochi,"? 12,432.00",8.8,9%,"? 22,675.97","? 10,243.97",,
ORD000097,LED Bulb,December,Fashion,4,Meesho,Kerala,Hyderabad,"? 8,966.00",16.55,17%,"? 29,928.51","? 11,996.51",,
ORD000098,Mobile Charger,November,Fashion,4,Flipkart,Maharashtra,Madurai,? 544.00,7.31,7%,"? 2,016.93",? 928.93,,
ORD000099,Power Bank,January,Fashion,3,Meesho,Maharashtra,Pune,"? 17,908.00",18.32,18%,"? 43,881.76","? 17,019.76",,
ORD000100,Backpack,January,Electronics,3,Flipkart,Telangana,Hyderabad,"? 12,219.00",15.94,16%,"? 30,813.87","? 12,485.37",,
ORD000101,Tablet Stand,November,Electronics,1,Amazon,Maharashtra,Kochi,"? 10,071.00",8.34,8%,"? 9,231.08","? 4,195.58",,
ORD000102,LED Bulb,September,Electronics,2,Amazon,Maharashtra,Kochi,"? 7,795.00",26.66,27%,"? 11,433.71","? 3,638.71",,
ORD000103,Gaming Keyboard,November,Computer,1,Flipkart,Tamil Nadu,Salem,"? 6,360.00",29.26,29%,"? 4,499.06","? 1,319.06",,
ORD000104,Desk Lamp,October,Electronics,4,Meesho,Maharashtra,Salem,"? 10,995.00",27.97,28%,"? 31,678.79","? 9,688.79",,
ORD000105,Gaming Keyboard,July,Fashion,4,Amazon,Tamil Nadu,Madurai,"? 1,686.00",11.87,12%,"? 5,943.49","? 2,571.49",,
ORD000106,T-shirt,September,Computer,2,Amazon,Telangana,Kochi,"? 18,096.00",28.68,29%,"? 25,812.13","? 7,716.13",,
ORD000107,USB Cable,March,Fashion,2,Meesho,Kerala,Bangalore,"? 12,828.00",22.68,23%,"? 19,837.22","? 7,009.22",,
ORD000108,Jeans,March,Home,1,Flipkart,Maharashtra,Madurai,"? 8,784.00",22.97,23%,"? 6,766.32","? 2,374.32",,
ORD000109,Water Bottle,January,Home,2,Amazon,Kerala,Kochi,? 829.00,20.38,20%,"? 1,320.10",? 491.10,,
ORD000110,USB Cable,January,Computer,3,Meesho,Tamil Nadu,Kochi,"? 3,386.00",15.24,15%,"? 8,609.92","? 3,530.92",,
ORD000111,Running Shoes,June,Home,1,Amazon,Kerala,Chennai,"? 2,614.00",29.84,30%,"? 1,833.98",? 526.98,,
ORD000112,Wireless Mouse,August,Fashion,1,Meesho,Maharashtra,Pune,"? 10,648.00",22.83,23%,"? 8,217.06","? 2,893.06",,
ORD000113,Mobile Charger,March,Fashion,5,Amazon,Kerala,Salem,"? 16,442.00",26.08,26%,"? 60,769.63","? 19,664.63",,
ORD000114,Sofa Cover,April,Computer,4,Flipkart,Maharashtra,Warangal,"? 8,810.00",20.96,21%,"? 27,853.70","? 10,233.70",,
ORD000115,LED Bulb,October,Electronics,3,Flipkart,Tamil Nadu,Salem,"? 19,769.00",24.85,25%,"? 44,569.21","? 14,915.71",,
ORD000116,LED Bulb,July,Fashion,3,Amazon,Maharashtra,Warangal,"? 13,377.00",28.61,29%,"? 28,649.52","? 8,584.02",,
ORD000117,Office Chair,November,Fashion,3,Flipkart,Maharashtra,Chennai,"? 3,660.00",7.26,7%,"? 10,182.85","? 4,692.85",,
ORD000118,Jeans,November,Computer,3,Amazon,Telangana,Kochi,"? 16,179.00",25.32,25%,"? 36,247.43","? 11,978.93",,
ORD000119,Running Shoes,October,Computer,1,Meesho,Kerala,Hyderabad,"? 12,877.00",25.75,26%,"? 9,561.17","? 3,122.67",,
ORD000120,Laptop Bag,February,Home,5,Amazon,Karnataka,Hyderabad,"? 12,241.00",10.73,11%,"? 54,637.70","? 24,035.20",,
ORD000121,Mobile Charger,June,Electronics,5,Flipkart,Kerala,Kochi,"? 8,735.00",8.13,8%,"? 40,124.22","? 18,286.72",,
ORD000122,Headphones,February,Fashion,4,Flipkart,Telangana,Madurai,"? 9,049.00",11.61,12%,"? 31,993.64","? 13,895.64",,
ORD000123,Tablet Stand,October,Electronics,4,Flipkart,Telangana,Warangal,"? 4,793.00",20.94,21%,"? 15,157.38","? 5,571.38",,
ORD000124,T-shirt,June,Computer,4,Flipkart,Maharashtra,Kochi,"? 14,280.00",8.97,9%,"? 51,996.34","? 23,436.34",,
ORD000125,Mobile Charger,January,Fashion,1,Amazon,Tamil Nadu,Madurai,"? 3,702.00",29.71,30%,"? 2,602.14",? 751.14,,
ORD000126,Sofa Cover,February,Fashion,4,Flipkart,Maharashtra,Hyderabad,"? 17,325.00",6.59,7%,"? 64,733.13","? 30,083.13",,
ORD000127,Backpack,March,Home,2,Meesho,Tamil Nadu,Pune,"? 11,815.00",21.34,21%,"? 18,587.36","? 6,772.36",,
ORD000128,Backpack,July,Home,3,Amazon,Kerala,Pune,"? 14,454.00",12.41,12%,"? 37,980.78","? 16,299.78",,
ORD000129,T-shirt,July,Computer,4,Flipkart,Maharashtra,Salem,"? 8,481.00",21.28,21%,"? 26,704.97","? 9,742.97",,
ORD000130,Running Shoes,August,Computer,3,Amazon,Telangana,Salem,? 876.00,15.76,16%,"? 2,213.83",? 899.83,,
ORD000131,Smart Watch,November,Fashion,2,Meesho,Telangana,Salem,"? 15,959.00",8.96,9%,"? 29,058.15","? 13,099.15",,
ORD000132,Gaming Keyboard,March,Home,5,Flipkart,Maharashtra,Salem,"? 7,563.00",21.51,22%,"? 29,680.99","? 10,773.49",,
ORD000133,Tablet Stand,August,Fashion,5,Meesho,Karnataka,Pune,"? 10,515.00",17.29,17%,"? 43,484.78","? 17,197.28",,
ORD000134,Headphones,December,Fashion,1,Amazon,Telangana,Pune,? 569.00,27.27,27%,? 413.83,? 129.33,,
ORD000135,Bluetooth Speaker,July,Electronics,5,Amazon,Kerala,Chennai,"? 10,820.00",22.07,22%,"? 42,160.13","? 15,110.13",,
ORD000136,Bluetooth Speaker,December,Electronics,2,Meesho,Karnataka,Warangal,"? 14,500.00",21.78,22%,"? 22,683.80","? 8,183.80",,
ORD000137,Running Shoes,October,Home,4,Flipkart,Telangana,Salem,"? 7,618.00",28.08,28%,"? 21,915.46","? 6,679.46",,
ORD000138,Mobile Charger,December,Computer,2,Flipkart,Karnataka,Warangal,"? 15,280.00",24.29,24%,"? 23,136.98","? 7,856.98",,
ORD000139,Smart Watch,May,Home,3,Flipkart,Telangana,Madurai,"? 2,810.00",5.77,6%,"? 7,943.59","? 3,728.59",,
ORD000140,Headphones,November,Fashion,4,Amazon,Tamil Nadu,Hyderabad,"? 15,756.00",29.59,30%,"? 44,375.20","? 12,863.20",,
ORD000141,USB Cable,January,Electronics,2,Flipkart,Tamil Nadu,Warangal,"? 1,138.00",12.72,13%,"? 1,986.49",? 848.49,,
ORD000142,Office Chair,May,Computer,4,Amazon,Kerala,Chennai,"? 3,827.00",14.73,15%,"? 13,053.13","? 5,399.13",,
ORD000143,T-shirt,September,Home,1,Flipkart,Tamil Nadu,Hyderabad,? 456.00,24.87,25%,? 342.59,? 114.59,,
ORD000144,Jeans,July,Home,2,Flipkart,Kerala,Hyderabad,"? 4,787.00",17.05,17%,"? 7,941.63","? 3,154.63",,
ORD000145,USB Cable,February,Computer,3,Amazon,Telangana,Pune,"? 18,220.00",19.8,20%,"? 43,837.32","? 16,507.32",,
ORD000146,Mixer Grinder,September,Fashion,4,Meesho,Maharashtra,Bangalore,"? 15,537.00",17.47,17%,"? 51,290.74","? 20,216.74",,
ORD000147,USB Cable,December,Home,1,Amazon,Tamil Nadu,Hyderabad,"? 18,541.00",11.72,12%,"? 16,367.99","? 7,097.49",,
ORD000148,Backpack,February,Home,4,Meesho,Kerala,Warangal,"? 15,916.00",11.23,11%,"? 56,514.53","? 24,682.53",,
ORD000149,USB Cable,January,Electronics,1,Flipkart,Karnataka,Hyderabad,"? 18,272.00",16.42,16%,"? 15,271.74","? 6,135.74",,
ORD000150,LED Bulb,December,Computer,2,Flipkart,Maharashtra,Pune,"? 10,831.00",13.15,13%,"? 18,813.45","? 7,982.45",,
ORD000151,Tablet Stand,October,Electronics,2,Flipkart,Tamil Nadu,Chennai,"? 5,685.00",27.7,28%,"? 8,220.51","? 2,535.51",,
ORD000152,Laptop Bag,November,Home,3,Amazon,Telangana,Pune,"? 2,941.00",10.88,11%,"? 7,863.06","? 3,451.56",,
ORD000153,Mixer Grinder,November,Electronics,3,Flipkart,Kerala,Warangal,"? 12,589.00",6.32,6%,"? 35,380.13","? 16,496.63",,
ORD000154,Tablet Stand,March,Fashion,1,Meesho,Kerala,Salem,"? 10,978.00",12.1,12%,"? 9,649.66","? 4,160.66",,
ORD000155,LED Bulb,September,Computer,5,Amazon,Telangana,Bangalore,"? 16,071.00",13.39,13%,"? 69,595.47","? 29,417.97",,
ORD000156,LED Bulb,April,Home,3,Flipkart,Karnataka,Warangal,"? 12,141.00",8.88,9%,"? 33,188.64","? 14,977.14",,
ORD000157,USB Cable,February,Fashion,3,Meesho,Telangana,Salem,"? 17,222.00",18.77,19%,"? 41,968.29","? 16,135.29",,
ORD000158,Power Bank,January,Electronics,4,Amazon,Maharashtra,Chennai,"? 11,222.00",19.49,19%,"? 36,139.33","? 13,695.33",,
ORD000159,Mixer Grinder,January,Electronics,2,Amazon,Karnataka,Madurai,"? 14,556.00",11.82,12%,"? 25,670.96","? 11,114.96",,
ORD000160,Mobile Charger,April,Fashion,1,Meesho,Karnataka,Madurai,"? 4,522.00",21.67,22%,"? 3,542.08","? 1,281.08",,
ORD000161,Sofa Cover,April,Home,5,Flipkart,Kerala,Warangal,"? 7,412.00",17.29,17%,"? 30,652.33","? 12,122.33",,
ORD000162,Power Bank,August,Computer,4,Flipkart,Kerala,Bangalore,? 827.00,24.23,24%,"? 2,506.47",? 852.47,,
ORD000163,Gaming Keyboard,May,Computer,5,Meesho,Tamil Nadu,Pune,"? 16,390.00",7.99,8%,"? 75,402.20","? 34,427.20",,
ORD000164,Office Chair,February,Fashion,4,Amazon,Tamil Nadu,Salem,"? 9,289.00",6.63,7%,"? 34,692.56","? 16,114.56",,
ORD000165,LED Bulb,February,Electronics,5,Flipkart,Tamil Nadu,Warangal,"? 2,050.00",22.63,23%,"? 7,930.43","? 2,805.43",,
ORD000166,Tablet Stand,October,Electronics,1,Meesho,Telangana,Chennai,"? 17,335.00",13.92,14%,"? 14,921.97","? 6,254.47",,
ORD000167,Backpack,November,Electronics,2,Amazon,Kerala,Salem,"? 13,513.00",14.04,14%,"? 23,231.55","? 9,718.55",,
ORD000168,LED Bulb,September,Home,1,Amazon,Telangana,Bangalore,"? 9,510.00",18.62,19%,"? 7,739.24","? 2,984.24",,
ORD000169,Power Bank,November,Fashion,4,Meesho,Tamil Nadu,Kochi,"? 5,758.00",18.12,18%,"? 18,858.60","? 7,342.60",,
ORD000170,Wireless Mouse,December,Fashion,2,Amazon,Telangana,Kochi,"? 13,241.00",23.73,24%,"? 20,197.82","? 6,956.82",,
ORD000171,Power Bank,February,Home,3,Meesho,Kerala,Bangalore,"? 13,843.00",16.73,17%,"? 34,581.20","? 13,816.70",,
ORD000172,Water Bottle,December,Home,4,Meesho,Karnataka,Kochi,"? 7,624.00",23.47,23%,"? 23,338.59","? 8,090.59",,
ORD000173,Sofa Cover,April,Fashion,4,Amazon,Kerala,Pune,"? 17,175.00",28.08,28%,"? 49,409.04","? 15,059.04",,
ORD000174,Headphones,April,Fashion,5,Amazon,Telangana,Hyderabad,"? 11,175.00",28.41,28%,"? 40,000.91","? 12,063.41",,
ORD000175,Mixer Grinder,January,Fashion,4,Amazon,Kerala,Kochi,"? 18,287.00",25.74,26%,"? 54,319.70","? 17,745.70",,
ORD000176,LED Bulb,February,Home,3,Flipkart,Maharashtra,Chennai,"? 16,017.00",11.22,11%,"? 42,659.68","? 18,634.18",,
ORD000177,Jeans,April,Electronics,1,Flipkart,Maharashtra,Salem,"? 2,636.00",21.33,21%,"? 2,073.74",? 755.74,,
ORD000178,Mixer Grinder,December,Computer,3,Flipkart,Kerala,Salem,"? 1,967.00",10.7,11%,"? 5,269.59","? 2,319.09",,
ORD000179,Smart Watch,July,Computer,5,Flipkart,Telangana,Hyderabad,"? 3,627.00",23.28,23%,"? 13,913.17","? 4,845.67",,
ORD000180,Office Chair,September,Home,4,Amazon,Karnataka,Madurai,"? 9,944.00",13.44,13%,"? 34,430.11","? 14,542.11",,
ORD000181,Power Bank,September,Computer,4,Flipkart,Kerala,Chennai,"? 17,832.00",23.25,23%,"? 54,744.24","? 19,080.24",,
ORD000182,Sofa Cover,October,Computer,1,Meesho,Telangana,Warangal,"? 8,955.00",22.15,22%,"? 6,971.47","? 2,493.97",,
ORD000183,Backpack,October,Fashion,5,Flipkart,Karnataka,Hyderabad,"? 13,940.00",29.04,29%,"? 49,459.12","? 14,609.12",,
ORD000184,Desk Lamp,September,Computer,2,Flipkart,Karnataka,Chennai,"? 10,577.00",16.08,16%,"? 17,752.44","? 7,175.44",,
ORD000185,Headphones,August,Home,2,Flipkart,Telangana,Chennai,"? 1,380.00",9.93,10%,"? 2,485.93","? 1,105.93",,
ORD000186,Jeans,November,Computer,1,Meesho,Karnataka,Chennai,"? 16,282.00",26.64,27%,"? 11,944.48","? 3,803.48",,
ORD000187,Desk Lamp,July,Electronics,1,Amazon,Karnataka,Bangalore,"? 14,105.00",15.96,16%,"? 11,853.84","? 4,801.34",,
ORD000188,Laptop Bag,May,Electronics,3,Amazon,Karnataka,Warangal,? 776.00,7.22,7%,"? 2,159.92",? 995.92,,
ORD000189,LED Bulb,October,Fashion,3,Flipkart,Tamil Nadu,Madurai,"? 19,009.00",14.07,14%,"? 49,003.30","? 20,489.80",,
ORD000190,Office Chair,March,Electronics,3,Meesho,Maharashtra,Kochi,"? 14,981.00",7.39,7%,"? 41,621.71","? 19,150.21",,
